454 1196
5546400178 3894630213 39.60864864947032 
7234367508 5803662947 8.02149259453103 
9365640251 9365640254 46.45472980124347 
11329562488 11329562487 44.90495914416415 
198509470 6956911686 13.876556289978868 
3894645102 4256589586 17.009589388829237 
5546400204 5546400205 71.02865855309213 
5999570837 11329562491 312.90643438608464  Denison University
5506729666 5506729663 108.25201526753392 
7234296666 3894654170 8.30841899882838 
7234367414 7234367419 7.550736894830932 
8137815362 8137815363 23.567810146442806 
3894641827 3894641828 3.566762732976779  Seeley G Mudd Learning Center
198269740 6956908777 21.593272752392632  Washington Drive
5546400176 5546400178 4.835047796520487 
9365640206 9365640282 3.499928323241601 
198378321 198378319 11.742028466840821 
5506729663 7234296667 49.33961413461746 
7933475787 8133088559 19.758626198599206  West Broadway
198373726 8133088566 69.88288247872492  West Broadway
198521204 3894635412 100.21133506764345  West Loop Road
7234367520 198558162 10.962445810197277  East Broadway
3894654175 7234367536 5.845960082396475 
4256589585 4256592589 29.903833066209724 
5999570838 11329762269 61.72186861359014  Denison University
7234296669 7234367412 5.823162362862148 
7234367449 7234367438 228.4579989041008 
8341641108 8137726002 33.71642802035702  Ebaugh Drive
4256592590 3894630219 4.318988480549309 
8257601704 8257601711 47.554994339226916 
9365640240 9365640269 6.647718952774981 
11329265990 11329265994 19.297046045338877 
3894654168 3894654171 80.97669906717506 
3894644517 3894644530 186.59809999476607  Smith Hall
11329562517 11331352908 48.78416442676721 
4256589577 198521214 6.011876247784634 
198373734 4256589565 32.289424563094606 
4256589587 3894630218 21.79325369393849 
8137821018 8137815399 49.44646404698935 
8314099101 198553604 277.12686565379926 
6829774059 6829774058 31.636124854437334 
7234296667 5506729663 49.33961413461746 
9365636014 198551754 9.35289284222278  Washington Drive
7933485248 7933485241 23.11992341750971 
8137727124 3531016709 30.736076867596616  Chapel Drive
8137815404 8137815395 20.590571719494932 
198521214 8307344137 45.45362648413191  West Loop Road
3894626038 198366303 73.26963688787457  Ridge Road
11329762269 11329728167 502.123258793954 
3894630223 3894630222 3.985559030167965  Herrick Hall
198551749 10313376793 57.3854771715521  Washington Drive
198356017 198356020 20.16518874665729 
3894630213 5546400179 201.29297160923971 
8317381121 8317381122 40.37391091299081 
3894637553 4256589581 37.45024391301893 
7234367509 8133088560 12.016567788033058 
8133093053 198373726 5.973250088637746  West Broadway
9365640169 9365640192 17.965677709520133  Bancroft Drive
7933475788 7933475787 11.905479230201 
198569938 8133088561 9.840935277657723  South Mulberry Street
4256589581 3894635412 38.19556977718703 
5546400189 5546400184 26.403588876763813 
8317358606 8317381120 24.509244540559074 
198517884 11329728150 14.762689482021381  New Burg Street
11329562490 11329562489 56.15396834282444 
11331352908 11329562517 48.78416442676721 
3894644544 3894644542 137.7861132138379 
7035916877 8314099101 200.75966827746743  Ebaugh Drive
5546400184 8137727122 28.399130966260582  Chapel Drive
11329468183 5803664456 38.2491952871369 
7234374851 7234391439 19.45872239964004 
198366299 198366303 86.41471503783846  President's Drive
8137726009 198590598 7.0175695381131025  North Loop Road
7234367414 8133088568 7.646761682212006 
9365635994 9365636014 443.12336674548465 
11329562520 11331352908 150.28284606584782 
11329728150 9365635994 7.100142011895799 
11329762269 11329562491 3680.3369749675867  Denison University
7037812809 198569938 7.9612403930363085  West Broadway
8137815355 9365640184 11.632292885687704  East Loop
198373734 7234367538 90.0494914289386  West College Street
3894630221 3894630220 3.7106655819395558 
6956908777 9365619863 55.24699969194711  Washington Drive
